24 ($)	00000000	00000000	00011000	00000000	01111110	00000000	11111111	00000000	11011011	00000000	11011000	00000000	11111110	00000000	01111111	00000000	00011011	00000000	11011011	00000000	11111111	00000000	01111110	00000000	00011000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
25 (%)	00000011	00000000	01100011	00000000	01100110	00000000	00000110	00000000	00001100	00000000	00001100	00000000	00011000	00000000	00011000	00000000	00110000	00000000	00110000	00000000	01100000	00000000	01100110	00000000	11000110	00000000	11000000	00000000	00000000	00000000	00000000	00000000
26 (&)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
27 (')	11000000	00000000	11000000	00000000	01000000	00000000	10000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
28 (()	00011000	00000000	00110000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	01100000	00000000	01100000	00000000	01100000	00000000	00110000	00000000	00011000	00000000
29 ())	11000000	00000000	01100000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00011000	00000000	00011000	00000000	00011000	00000000	00011000	00000000	00011000	00000000	00011000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	01100000	00000000	11000000	00000000
2A (*)	00000000	00000000	00000000	00000000	00001100	00000000	11001100	11000000	01101101	10000000	00111111	00000000	11111111	11000000	11111111	11000000	00111111	00000000	01101101	10000000	11001100	11000000	00001100	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
2B (+)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00011000	00000000	00011000	00000000	00011000	00000000	11111111	00000000	11111111	00000000	00011000	00000000	00011000	00000000	00011000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
2C (,)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	11000000	00000000	11000000	00000000	01000000	00000000	10000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
2D (-)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	11111100	00000000	11111100	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
2E (.)	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
2F (/ or down left arrow )	00000000	00000100	00000000	00001110	00001000	00011111	00011000	00111110	00111000	01111100	01111000	11111000	11111001	11110000	11111011	11100000	11111111	11000000	11111111	10000000	11111111	00000000	11111111	11111100	11111111	11111000	11111111	11110000	11111111	11100000	11111111	11000000
30 (0)	00111111	00000000	01111111	10000000	11100001	10000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11000000	11100001	11000000	01111111	10000000	00111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
31 (1)	00110000	00000000	01110000	00000000	11110000	00000000	11110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
32 (2)	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	11000001	10000000	00000011	10000000	00000111	00000000	00001110	00000000	00011100	00000000	00111000	00000000	01110000	00000000	11111111	10000000	11111111	10000000	00000000	00000000	00000000	00000000	00000000	00000000
33 (3)	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	11000011	10000000	00011111	00000000	00011111	00000000	00000011	10000000	11000001	10000000	11000001	10000000	11100001	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
34 (4)	00000001	10000000	00000011	10000000	00000111	10000000	00001111	10000000	00011101	10000000	00111001	10000000	01110001	10000000	11100001	10000000	11000001	10000000	11111111	11100000	11111111	11100000	00000001	10000000	00000001	10000000	00000000	00000000	00000000	00000000	00000000	00000000
35 (5)	11111111	00000000	11111111	00000000	11000000	00000000	11000000	00000000	11011110	00000000	11111111	00000000	11100011	10000000	00000001	10000000	00000001	10000000	11000001	10000000	11000001	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
36 (6)	00111110	00000000	01111111	00000000	11100011	10000000	11000000	00000000	11011110	00000000	11111111	00000000	11100011	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11100011	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
37 (7)	11111111	10000000	11111111	10000000	00000011	10000000	00000011	00000000	00000111	00000000	00000110	00000000	00001110	00000000	00001100	00000000	00011100	00000000	00011000	00000000	00111000	00000000	00110000	00000000	00110000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
38 (8)	00111111	00000000	01111111	10000000	01100001	10000000	01100001	10000000	01100001	10000000	00111111	00000000	01111111	10000000	11100001	11000000	11000000	11000000	11000000	11000000	11100001	11000000	01111111	10000000	00111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
39 (9)	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	11000001	10000000	11100011	10000000	01111111	10000000	00111101	10000000	00000001	10000000	00000001	10000000	11100011	10000000	01111111	00000000	00111110	00000000	00000000	00000000	00000000	00000000	00000000	00000000
3A (:)	00000000	00000000	00000000	00000000	00000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
3B (;)	00000000	00000000	00000000	00000000	00000000	00000000	01100000	00000000	01100000	00000000	00000000	00000000	00000000	00000000	01100000	00000000	01100000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
3C (< or left arrow)  2nd half on character 12	00000001	00000000	00000011	00000000	00000111	00000000	00001111	00000000	00011111	00000000	00111111	11111111	01111111	11111111	11111111	11111111	01111111	11111111	00111111	11111111	00011111	00000000	00001111	00000000	00000111	00000000	00000011	00000000	00000001	00000000	00000000	00000000
3D (= 1st half of BR logo)	00000000	11110000	00000000	00111100	00000000	00001111	00000000	00000011	11111111	11111111	11111111	11111111	00000000	00000011	00000000	00001111	00000000	00111100	00000000	11110000	11111111	11111111	11111111	11111111	00000000	11110000	00000000	00111100	00000000	00001111	00000000	00000011
3E (> or right arrow, 2nd half on character 13)	00000000	00001000	00000000	00001100	00000000	00001110	00000000	00001111	00000000	00001111	11111111	11111111	11111111	11111111	11111111	11111111	11111111	11111111	11111111	11111111	00000000	00001111	00000000	00001111	00000000	00001110	00000000	00001100	00000000	00001000	00000000	00000000
3F (?)	00111110	00000000	01111111	00000000	11100011	10000000	11000001	10000000	00000001	10000000	00000011	00000000	00000110	00000000	00001100	00000000	00011000	00000000	00011000	00000000	00000000	00000000	00011000	00000000	00011000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
40 (@) LUL logo	00000000	00000000	00000011	11000000	00001111	11110000	00011100	00111000	00110000	00001100	00110000	00001100	11111111	11111111	11111111	11111111	11111111	11111111	00110000	00001100	00110000	00001100	00011100	00111000	00001111	11110000	00000011	11000000	00000000	00000000	00000000	00000000
41 (A)	00001110	00000000	00001110	00000000	00011011	00000000	00011011	00000000	00110001	10000000	00110001	10000000	00110001	10000000	01100000	11000000	01111111	11000000	01111111	11000000	11000000	01100000	11000000	01100000	11000000	01100000	00000000	00000000	00000000	00000000	00000000	00000000
42 (B)	11111111	00000000	11111111	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11111111	00000000	11111111	10000000	11000001	11000000	11000000	11000000	11000000	11000000	11000001	11000000	11111111	10000000	11111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
43 (C)	00011111	10000000	00111111	11000000	01110000	11100000	01100000	01100000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	01100000	01100000	01110000	11100000	00111111	11000000	00011111	10000000	00000000	00000000	00000000	00000000	00000000	00000000
44 (D)	11111111	00000000	11111111	10000000	11000001	11000000	11000000	11100000	11000000	01100000	11000000	01100000	11000000	01100000	11000000	01100000	11000000	01100000	11000000	11100000	11000001	11000000	11111111	10000000	11111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
45 (E)	11111111	10000000	11111111	10000000	11000000	00000000	11000000	00000000	11000000	00000000	11111111	10000000	11111111	10000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11111111	10000000	11111111	10000000	00000000	00000000	00000000	00000000	00000000	00000000
46 (F)	11111111	00000000	11111111	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11111110	00000000	11111110	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
47 (G)	00011111	10000000	00111111	11000000	01110000	11100000	11100000	01100000	11000000	00000000	11000000	00000000	11000000	00000000	11000011	11100000	11000011	11100000	11100000	01100000	01110000	11100000	00111111	11100000	00011111	01100000	00000000	00000000	00000000	00000000	00000000	00000000
48 (H)	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11111111	10000000	11111111	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	00000000	00000000	00000000	00000000	00000000	00000000
49 (I)	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
